DATE,WILL5000INDFC,NGDPNSAXDCUSQ,PPIACO,FEDFUNDS,M2SL,U4RATE,CIVPART,BOGZ1FL010000336Q,GFDEGDQ188S,CORESTICKM159SFRBATL,M2V,CPALTT01USM657N
4/1/1913,.,.,11.93333333,.,.,.,.,.,.,.,.,.
7/1/1913,.,.,12.06666667,.,.,.,.,.,.,.,.,.
10/1/1913,.,.,12.06666667,.,.,.,.,.,.,.,.,.
1/1/1914,.,.,11.76666667,.,.,.,.,.,.,.,.,.
4/1/1914,.,.,11.63333333,.,.,.,.,.,.,.,.,.
7/1/1914,.,.,11.9,.,.,.,.,.,.,.,.,.
10/1/1914,.,.,11.66666667,.,.,.,.,.,.,.,.,.
1/1/1915,.,.,11.8,.,.,.,.,.,.,.,.,.
4/1/1915,.,.,11.83333333,.,.,.,.,.,.,.,.,.
7/1/1915,.,.,11.83333333,.,.,.,.,.,.,.,.,.
10/1/1915,.,.,12.4,.,.,.,.,.,.,.,.,.
1/1/1916,.,.,13.56666667,.,.,.,.,.,.,.,.,.
4/1/1916,.,.,14.2,.,.,.,.,.,.,.,.,.
7/1/1916,.,.,14.7,.,.,.,.,.,.,.,.,.
10/1/1916,.,.,16.53333333,.,.,.,.,.,.,.,.,.
1/1/1917,.,.,18.03333333,.,.,.,.,.,.,.,.,.
4/1/1917,.,.,20.5,.,.,.,.,.,.,.,.,.
7/1/1917,.,.,21.33333333,.,.,.,.,.,.,.,.,.
10/1/1917,.,.,21.16666667,.,.,.,.,.,.,.,.,.
1/1/1918,.,.,21.5,.,.,.,.,.,.,.,.,.
4/1/1918,.,.,22.13333333,.,.,.,.,.,.,.,.,.
7/1/1918,.,.,23.2,.,.,.,.,.,.,.,.,.
10/1/1918,.,.,23.5,.,.,.,.,.,.,.,.,.
1/1/1919,.,.,22.73333333,.,.,.,.,.,.,.,.,.
4/1/1919,.,.,23.2,.,.,.,.,.,.,.,.,.
7/1/1919,.,.,24.5,.,.,.,.,.,.,.,.,.
10/1/1919,.,.,25.1,.,.,.,.,.,.,.,.,.
1/1/1920,.,.,27.2,.,.,.,.,.,.,.,.,.
4/1/1920,.,.,28.66666667,.,.,.,.,.,.,.,.,.
7/1/1920,.,.,27.73333333,.,.,.,.,.,.,.,.,.
10/1/1920,.,.,22.9,.,.,.,.,.,.,.,.,.
1/1/1921,.,.,18.46666667,.,.,.,.,.,.,.,.,.
4/1/1921,.,.,16.56666667,.,.,.,.,.,.,.,.,.
7/1/1921,.,.,16.1,.,.,.,.,.,.,.,.,.
10/1/1921,.,.,16.13333333,.,.,.,.,.,.,.,.,.
1/1/1922,.,.,15.9,.,.,.,.,.,.,.,.,.
4/1/1922,.,.,16.43333333,.,.,.,.,.,.,.,.,.
7/1/1922,.,.,17.06666667,.,.,.,.,.,.,.,.,.
10/1/1922,.,.,17.26666667,.,.,.,.,.,.,.,.,.
1/1/1923,.,.,17.8,.,.,.,.,.,.,.,.,.
4/1/1923,.,.,17.56666667,.,.,.,.,.,.,.,.,.
7/1/1923,.,.,17.03333333,.,.,.,.,.,.,.,.,.
