DATE,WILL5000INDFC_PC1,NGDPNSAXDCUSQ_PC1,PPIACO_PC1,FEDFUNDS,M2SL_PC1,U4RATE_PC1,CIVPART_PC1,BOGZ1FL010000336Q_PC1,GFDEGDQ188S_PC1,CORESTICKM159SFRBATL,M2V_PC1,CPALTT01USM657N_PC1
4/1/1995,17.44699,4.85427,4.0822,6.02,1.15485,-9.18367,0.2005,2.63993,1.88088,3.345822733,3.41346,33.56639
7/1/1995,25.69417,4.64797,3.49959,5.796666667,2.85373,-6.28272,0.1002,2.82861,1.1362,3.341954967,1.85449,-51.38042
10/1/1995,32.32545,4.23319,3.32144,5.72,3.87171,-1.1236,-0.29985,2.66727,-0.31532,3.423972632,0.37401,-2.24643
1/1/1996,34.60911,4.91328,2.32244,5.363333333,4.99551,1.15607,-0.34948,3.09603,0.58612,3.241191499,-0.37123,26.0987
4/1/1996,30.1384,5.67548,2.32124,5.243333333,5.27321,-3.37079,0.10005,1.78962,-1.62792,3.050979563,0.65086,-11.54797
7/1/1996,17.94804,5.84166,2.36954,5.306666667,4.42441,-7.26257,0.35035,1.44743,-0.74819,3.09202919,1.35387,52.75741
10/1/1996,22.24339,6.20857,2.36451,5.28,4.82104,-5.11364,0.75188,1.01144,0.41156,3.005859267,1.35072,158.08258
1/1/1997,23.20829,6.13952,1.74188,5.276666667,4.96062,-6.28571,0.7014,0.37377,-1.07228,2.869597723,1.25757,-38.30484
4/1/1997,21.3467,6.20983,-0.49544,5.523333333,4.8734,-9.30233,0.5997,0.39785,-1.77531,2.883209427,1.15473,-70.75577
7/1/1997,39.69836,6.45382,-0.75423,5.533333333,5.51782,-7.83133,0.49875,0.22301,-2.75093,2.663955071,0.9673,-19.9826
10/1/1997,32.14562,6.18528,-0.72671,5.506666667,5.73925,-11.97605,0.24876,0.41137,-2.6016,2.611785957,0.36765,-87.6733
1/1/1998,31.59772,5.73672,-2.6978,5.52,6.21464,-10.97561,0.14925,0.70922,-2.85091,2.690487206,-0.18399,-36.72327
4/1/1998,36.92977,5.64907,-1.78197,5.5,6.99525,-10.89744,-0.14903,2.03716,-1.99196,2.627480987,-1.59817,162.62532
7/1/1998,14.78717,5.30566,-2.27987,5.533333333,7.13406,-6.53595,-0.14888,1.81181,-3.04088,2.620164636,-1.68796,-34.4
10/1/1998,13.34502,5.93352,-3.1634,4.86,8.21678,-4.7619,0,1.81196,-3.76509,2.50732979,-2.01465,194.01924
1/1/1999,19.71712,6.1307,-1.94615,4.733333333,8.1619,-7.53425,0.04968,2.12935,-3.93688,2.320350767,-1.8894,20.25367
4/1/1999,17.34334,6.16157,-0.34685,4.746666667,7.72298,-4.31655,0.14925,2.14142,-4.30009,2.1598809,-1.43852,47.69288
7/1/1999,23.49878,6.24118,2.0649,5.093333333,7.51018,-6.99301,-0.0497,2.68376,-3.62182,2.105052967,-1.2529,177.31721
10/1/1999,25.59508,6.51074,3.61771,5.306666667,6.22213,-8.57143,-0.14888,2.55388,-3.41616,2.136043067,0.28037,29.75518
1/1/2000,20.34909,6.79922,5.73681,5.676666667,6.00151,-5.92593,0.24826,3.26778,-3.87617,2.414748267,0.28182,155.92433
4/1/2000,11.79311,7.57423,6.05087,6.273333333,6.23346,-6.01504,0.09935,1.7181,-6.26325,2.571238767,1.27119,-3.75732
7/1/2000,14.23847,6.36294,5.43878,6.52,5.90454,-6.01504,-0.19891,2.80355,-5.82343,2.8393939,0.6109,-26.15838
10/1/2000,0.81872,5.17341,5.94059,6.473333333,6.02962,-4.6875,-0.24851,3.26377,-7.00244,2.9321634,-0.60578,-27.45812
1/1/2001,-13.45394,4.62599,6.27411,5.593333333,7.15719,4.72441,-0.19812,2.71238,-4.46455,2.950053633,-2.34192,-26.51791
4/1/2001,-14.42278,3.38155,3.18101,4.326666667,8.05077,11.2,-0.59553,4.42868,-2.6192,3.1323022,-4.27708,45.48714
7/1/2001,-21.97748,2.8421,-0.29903,3.496666667,9.19012,20.8,-0.29895,5.93924,-0.35369,3.293857767,-5.93181,-77.44505
