DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
7/1/1994,2.48712,1.53859,0.77756,13.87479,0.08037,-2.55102,0.05013,0.80467,-0.08917,0.22477,1.10577,73.7696
10/1/1994,0.25538,3.61044,0.38578,15.15602,-0.02008,-6.80628,0.2505,0.90374,-0.28277,-6.05452,1.71184,-78.7163
1/1/1995,4.75062,-3.60423,1.64699,12.45161,0.14821,-2.80899,0.09995,-0.24465,0.35562,2.67819,0.74801,463.66289
4/1/1995,9.12099,3.39357,1.21523,3.61446,0.9443,2.89017,-0.1997,1.15614,1.20578,5.83733,-0.18561,-35.92969
7/1/1995,9.68381,1.33882,0.21345,-3.70986,1.76121,0.5618,-0.05003,0.98998,0.7273,-0.1156,-0.41841,-36.74603
10/1/1995,5.54459,3.19977,0.21299,-1.3226,0.96947,-1.67598,-0.15015,0.74541,-0.20302,2.45418,0.23343,-57.20741
1/1/1996,6.5584,-2.97528,0.66419,-6.23543,1.23173,-0.56818,0.05013,0.17195,0.379,-5.33828,0,627.10544
4/1/1996,5.4968,4.14473,1.21404,-2.23741,1.21128,-1.71429,0.2505,-0.12568,-1.06324,-5.86858,0.83838,-55.05783
7/1/1996,-0.59053,1.49817,0.26076,1.20788,0.94072,-3.48837,0.1999,0.65047,-0.48437,1.34546,0.27714,9.24015
10/1/1996,9.38824,3.55752,0.20806,-0.50251,1.35298,0.60241,0.24938,0.31244,0.26415,-2.78684,0.23031,-27.70221
1/1/1997,7.39949,-3.03836,0.05191,-0.06313,1.36653,-1.79641,0,-0.46042,-0.69743,-4.5332,-0.09191,73.81602
4/1/1997,3.90283,4.21371,-1.01167,4.67467,1.12718,-4.87805,0.14925,-0.10173,-1.14063,0.47434,0.73597,-78.69689
7/1/1997,14.44349,1.73134,0,0.18105,1.56097,-1.92308,0.09935,0.47519,-1.7676,-7.60452,0.09132,198.90044
10/1/1997,3.47421,3.29629,0.23585,-0.48193,1.56566,-3.92157,0,0.50097,-1.67665,-1.95833,-0.36496,-88.86251
1/1/1998,6.95419,-3.44795,-1.93464,0.24213,1.82226,-0.68027,-0.09926,-0.16516,-1.8344,3.01331,-0.64103,792.25093
4/1/1998,8.11274,4.12732,-0.07998,-0.36232,1.8704,-4.79452,-0.14903,1.21552,-1.25711,-2.34181,-0.69124,-11.58303
7/1/1998,-4.06291,1.40067,-0.50694,0.60606,1.69273,2.8777,0.0995,0.25329,-1.90016,-0.27845,0,-25.339
10/1/1998,2.1742,3.91217,-0.67042,-12.16867,2.59211,-2.0979,0.14911,0.50112,-2.36336,-4.3064,-0.69606,-50.08175
1/1/1999,12.967,-3.26824,-0.70194,-2.60631,1.77062,-3.57143,-0.04963,0.14607,-2.46094,-7.4573,-0.51402,264.93004
4/1/1999,5.96905,4.15761,1.54976,0.28169,1.45701,-1.48148,-0.04965,1.22749,-2.65969,-6.91576,-0.23485,8.59174
7/1/1999,0.96963,1.47671,1.90094,7.30337,1.49184,0,-0.09935,0.7856,-2.19435,-2.53847,0.18832,40.18807
10/1/1999,3.90853,4.17582,0.84078,4.18848,1.36298,-3.7594,0.04973,0.374,-2.0636,1.47218,0.84586,-76.64353
1/1/2000,8.24848,-3.00624,1.32882,6.97236,1.55925,-0.78125,0.34791,0.84321,-2.3276,13.04773,-0.51258,619.77455
4/1/2000,-1.56461,4.91344,1.85138,10.51086,1.67902,-1.5748,-0.19812,-0.29157,-3.70736,6.48061,0.74941,-59.16308
7/1/2000,3.17824,0.33408,1.3128,3.93199,1.1776,0,-0.39702,1.8611,-3.40045,10.42902,-0.4649,7.55845
10/1/2000,-8.29774,3.01075,1.32071,-0.71575,1.4827,-2.4,0,0.82334,-4.08546,3.26723,-0.37366,-77.05464
1/1/2001,-7.07599,-3.51108,1.64781,-13.59423,2.63927,9.01639,0.3986,0.30475,-2.577,0.61014,-2.25035,629.10348
